stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
8220DB000022,22,Home Farm Road,,53.3735036097406,-6.25280375269006,,,,
8220DB000023,23,Ferguson Road,,53.3742282800791,-6.256261004167,,,,
8220DB000024,24,Walsh Road,,53.3751331588841,-6.26037234812319,,,,
8220DB000025,25,Rathlin Road,,53.3758994661474,-6.26361773641709,,,,
8220DB000027,27,Ballymun Road,,53.3794389600107,-6.26658526126003,,,,
8220DB000028,28,Hampstead Avenue,,53.381578637628,-6.26600227077738,,,,
8220DB000029,29,Albert College Park,,53.3834882529457,-6.26566910125417,,,,
8220DB000030,30,Ventry Park,,53.370331900193,-6.30460116922913,,,,
8220DB000031,31,St Pappin's Road,,53.3860332259144,-6.268858077275,,,,
8220DB000032,32,Stormanstown Road,,53.3861955680738,-6.2713772010414,,,,
8220DB000033,33,Glasnevin Drive,,53.3887179243058,-6.27177114122451,,,,
8220DB000035,35,Dean Swift Road,,53.3862067871013,-6.270910692541,,,,
8220DB000036,36,Maolbuille Road,,53.386126850411,-6.26787706978339,,,,
8220DB000037,37,DCU Ballymun Road,,53.385346401194,-6.26488698131794,,,,
8220DB000038,38,Hampstead Avenue,,53.3822365941636,-6.26550952120506,,,,
8220DB000039,39,The Rise,,53.3804141869323,-6.26565875906589,,,,
8220DB000040,40,Stella Avenue,,53.3766607654507,-6.26466896852794,,,,
8220DB000041,41,Home Farm Road,,53.3755592683258,-6.26185800624669,,,,
8220DB000042,42,Corpus Christi NS,,53.3746502734575,-6.25746118972134,,,,
8220DB000043,43,Achill Road,,53.3738612202267,-6.25390131043392,,,,
8220DB000044,44,Home Farm Road East,,53.373017,-6.252132,,,,
8220DB000045,45,Drumcondra Village,,53.369936,-6.254107,,,,
8220DB000046,46,Botanic Avenue,,53.367131,-6.255259,,,,
8220DB000047,47,Archbishop's House,,53.363916,-6.257298,,,,
8220DB000048,48,Drumcondra Station,,53.362257,-6.258808,,,,
8220DB000049,49,Dorset Street Lower,,53.360004,-6.260853,,,,
8220DB000051,51,Eccles Place,,53.35781,-6.263272,,,,
8220DB000052,52,Dorset Street Upper,,53.356661,-6.264565,,,,
8220DB000053,53,North Circular Road,,53.360014,-6.262791,,,,
8220DB000054,54,Mater Hospital,,53.360222,-6.265908,,,,
8220DB000055,55,Mountjoy,,53.360412,-6.26847,,,,
8220DB000056,56,Dalymount,,53.36076,-6.276374,,,,
8220DB000057,57,Dalymount,,53.3608162242918,-6.27655167484331,,,,
8220DB000058,58,Churchview Home,,53.360946,-6.281204,,,,
8220DB000059,59,Annamoe Terrace,,53.361018,-6.284943,,,,
8220DB000060,60,Quarry Road,,53.3612792196482,-6.28936450005445,,,,
8220DB000063,63,Faussaugh Avenue,,53.366792,-6.29275,,,,
8220DB000064,64,Faussaugh Avenue Church,,53.367089,-6.295233,,,,
8220DB000065,65,Dingle Road,,53.3672546442386,-6.29805127641299,,,,
8220DB000066,66,Broombridge Road,,53.367275,-6.30074,,,,
8220DB000068,68,Ventry Drive,,53.369077508046,-6.30424523466641,,,,
8220DB000069,69,Carnlough Road,,53.3713925640935,-6.30334171689525,,,,
8220DB000071,71,Ventry Park,,53.3702576893289,-6.30443880530351,,,,
8220DB000072,72,Ventry Drive,,53.368969926025,-6.30426453600163,,,,
8220DB000073,73,Faussagh Avenue,,53.367392,-6.300721,,,,
8220DB000074,74,Faussaugh Avenue Church,,53.3672,-6.295499,,,,
8220DB000075,75,Fionnbarra GAA,,53.3665472298946,-6.29131731936794,,,,
8220DB000077,77,Quarry Road,,53.3613091819025,-6.28957365234688,,,,
8220DB000078,78,Annamoe Terrace,,53.361149,-6.284066,,,,
8220DB000079,79,Churchview Home,,53.361021,-6.280796,,,,
8220DB000080,80,Phibsborough PO,,53.360863,-6.276054,,,,
8220DB000081,81,Phibsborough,,53.3608757479059,-6.27196662691607,,,,
8220DB000082,82,Phibsborough,,53.360798,-6.271549,,,,
8220DB000083,83,Mater Hospital,,53.360279,-6.265545,,,,
8220DB000084,84,Leo Street,,53.360163,-6.263702,,,,
8220DB000085,85,Home Farm Road East,,53.373958,-6.251913,,,,
8220DB000087,87,Clare Road,,53.3767517255719,-6.2548802899246,,,,
8220DB000088,88,Walnut Rise,,53.3772872552991,-6.2576992286456,,,,
8220DB000090,90,Albert College Court,,53.3863855316738,-6.26526567275522,,,,
8220DB000091,91,Ballymun Road NS,,53.3884278896483,-6.26540814207682,,,,
8220DB000092,92,Ballymun Library,,53.3898373340512,-6.26467424036105,,,,
8220DB000093,93,Gateway Avenue,,53.3923014677497,-6.26415297561013,,,,
8220DB000094,94,Civic Centre,,53.3960347624115,-6.26437695995448,,,,
8220DB000102,102,Balbutcher Lane,,53.397773070166,-6.26771985697013,,,,
8220DB000104,104,Poppintree Parade,,53.399771,-6.276819,,,,
8220DB000105,105,Belclare Park,,53.4029363966818,-6.28169269646949,,,,
8220DB000107,107,Crannogue Road,,53.4023798987989,-6.28049690990612,,,,
8220DB000110,110,Ard na Meala,,53.3979386409613,-6.26860038147331,,,,
8220DB000112,112,Civic Centre,,53.3961544015462,-6.2639510403018,,,,
8220DB000113,113,Trinity Comp School,,53.3922679629262,-6.26370325464247,,,,
8220DB000114,114,Ballymun Road,,53.3913333220544,-6.26371122925237,,,,
8220DB000115,115,Ballymun Road Church,,53.3879640919871,-6.26503610048148,,,,
8220DB000116,116,Griffith Lawns,,53.3776934606436,-6.25966673989336,,,,
8220DB000117,117,Walnut Rise,,53.3773659067251,-6.25754570845526,,,,
8220DB000118,118,Clare Road,,53.3766430016908,-6.25359209857681,,,,
8220DB000119,119,Whitehall Village,,53.375191,-6.250766,,,,
8220DB000126,126,Nursing Home,,53.3990954666854,-6.26408696056045,,,,
8220DB000127,127,Nursing Home,,53.3991075304805,-6.26368042823971,,,,
8220DB000128,128,Glasnevin Avenue,,53.3892678697418,-6.26568972261117,,,,
8220DB000129,129,Glasnevin Drive,,53.3898903154474,-6.27142293606878,,,,
8220DB000130,130,Glasnevin Park,,53.3900920127596,-6.27418126942505,,,,
8220DB000131,131,Willow Park Road,,53.3903858902624,-6.27834923697209,,,,
8220DB000132,132,Beneavin Park,,53.3905207424932,-6.2827191236982,,,,
8220DB000133,133,Grove Park Road,,53.3907969275881,-6.28630150947292,,,,
8220DB000134,134,Grove Road,,53.393095,-6.286074,,,,
8220DB000136,136,McKee Road,,53.3943802013894,-6.28985659650009,,,,
8220DB000137,137,Clancy Avenue,,53.3923167196303,-6.29263079481432,,,,
8220DB000138,138,St Canice's BNS,,53.3899950092672,-6.29180657264741,,,,
8220DB000139,139,Grove Park Road,,53.3906014624241,-6.28645971748872,,,,
8220DB000140,140,Beneavin Park,,53.3906344923641,-6.28250404674216,,,,
8220DB000141,141,Willow Park Road,,53.3904450850916,-6.27809124468715,,,,
8220DB000142,142,Glasnevin Park,,53.3901982852621,-6.27407172195534,,,,
8220DB000143,143,Willow Park Avenue,,53.389876708405,-6.2692433699802,,,,
8220DB000146,146,Na Fianna GAA Club,,53.3750401276319,-6.26509558567468,,,,
8220DB000147,147,Tolka Bridge,,53.37248,-6.265831,,,,
8220DB000148,148,Mobhi Road,,53.3706701663468,-6.26806850705825,,,,
8220DB000149,149,Tolka Bridge,,53.373139,-6.265985,,,,
8220DB000150,150,Na Fianna GAA Club,,53.3756588461862,-6.26499528302822,,,,
8220DB000151,151,Botanic Gardens,,53.3719552600192,-6.26929382771155,,,,
8220DB000153,153,Met Éireann,,53.375689,-6.270134,,,,
8220DB000154,154,Cremore Avenue,,53.377259,-6.275557,,,,
8220DB000155,155,Old Finglas Road,,53.37792,-6.27951,,,,
8220DB000156,156,Northland Grove,,53.378623,-6.281665,,,,
